"region","sector_j","sector_name","fd_dom_hh","fd_dom_gov","fd_dom_id","fd_dom_idg","fd_xbr_hh","fd_xbr_gov","fd_xbr_id","fd_xbr_idg","d_new","d_old"
"Z1",1,"Agriculture",5.1700428876035,0.0956632945244568,0,0.114568249567962,0,0,0,0,5.38027443169591,5.38027443169591
"Z1",2,"Animal Farming",1.43110368761983,0.0412810814677949,0,0.214845191813253,0,0,0,0,1.68722996090088,1.68722996090088
"Z1",3,"Forestry, Logging",0.291169942222186,0.0358871997759223,0,0.0965930681163875,0,0,0,0,0.423650210114495,0.423650210114495
"Z1",4,"Fishing",0.534671624388966,0.00122031759263889,0,0.00258093253479691,0,0,0,0,0.538472874516402,0.538472874516402
"Z1",5,"Fossil-Fuel Extraction",0.328434940219355,0.0839700163065638,0,0.55004516141845,0,0,0,0,0.962450117944369,0.962450117944369
"Z1",6,"Mining",0.133679741048838,0.0307993087814966,0,0.0941758465352145,0,0,0,0,0.258654896365549,0.258654896365549
"Z1",7,"Meat",10.3333639939533,0.093909792030607,0,0.062179908747722,0,0,0,0,10.4894536947317,10.4894536947317
"Z1",8,"Other Food",13.8472306246052,0.0852888474514999,0,0.0848930762985895,0,0,0,0,14.0174125483553,14.0174125483553
"Z1",9,"Tobacco",0.576705404303632,0.00323172055440326,0,0.0194661084934241,0,0,0,0,0.599403233351459,0.599403233351459
"Z1",10,"Textiles",8.40667278963004,0.0846708020217048,0,0.111926801930656,0,0,0,0,8.6032703935824,8.6032703935824
"Z1",11,"Wood",0.49401354730805,0.00902950714021094,0,0.188426889249476,0,0,0,0,0.691469943697737,0.691469943697737
"Z1",12,"Wood Re-processing",0.163217450943957,0.00317756596762656,0,0.065709475028483,0,0,0,0,0.232104491940066,0.232104491940066
"Z1",13,"Pulp",0.0131538480239637,0.0103094151073007,0,0.018034001950662,0,0,0,0,0.0414972650819265,0.0414972650819265
"Z1",14,"Pulp Re-processing",0.0235838356624176,0.0137270695692187,0,0.0315759543712228,0,0,0,0,0.068886859602859,0.068886859602859
"Z1",15,"Paper",4.13330829547261,0.158257528394683,0,0.213617941050375,0,0,0,0,4.50518376491767,4.50518376491767
"Z1",16,"Fossil-Fuel Processing",6.3158006179958,0.14874454753427,0,0.246801198629746,0,0,0,0,6.71134636415981,6.71134636415981
"Z1",17,"Plastics",0.49746003781906,12.3186753178094,0,0.16199782069944,0,0,0,0,12.9781331763279,12.9781331763279
"Z1",18,"Plastics Re-processing",0.118036984756916,2.74270186765723,0,0.0514169691925635,0,0,0,0,2.91215582160671,2.91215582160671
"Z1",19,"Chemicals",0.67572483827181,1.01079051216574,0,0.0251656119743577,0,0,0,0,1.7116809624119,1.7116809624119
"Z1",20,"Rubber, Plastic Products",1.57726288024488,0.0786088953146134,0,0.156485692456104,0,0,0,0,1.8123574680156,1.8123574680156
"Z1",21,"Glass",0.00951672892322618,0.00559995064496273,0,0.0127928497628189,0,0,0,0,0.0279095293310079,0.0279095293310079
"Z1",22,"Glass Re-processing",0.00301908875456694,0.00267087758510837,0,0.00412710007762393,0,0,0,0,0.00981706641729924,0.00981706641729924
"Z1",23,"Other Non-metallic Mineral Products",0.927561428930498,0.0247591195254612,0,0.0531265536396265,0,0,0,0,1.00544710209559,1.00544710209559
"Z1",24,"Cement",0.0475942503254091,0.0281580237644546,0,0.0512764224566955,0,0,0,0,0.127028696546559,0.127028696546559
"Z1",25,"Clinker Re-processing",0.00990866394754125,0.0104290443192951,0,0.0113961413497227,0,0,0,0,0.031733849616559,0.031733849616559
"Z1",26,"Metals",0.16913349675988,0.0653362472720664,0,0.191317515200678,0,0,0,0,0.425787259232625,0.425787259232625
"Z1",27,"Metals Re-processing",0.0692946386111573,0.0254936437399454,0,0.0535512584326945,0,0,0,0,0.148339540783797,0.148339540783797
"Z1",28,"Durable Goods",13.4281122543241,1.15435155378908,0,13.4818082362488,0,0,0,0,28.0642720443619,28.0642720443619
"Z1",29,"Furniture",3.32266029268714,0.144725071295196,0,0.899754711943215,0,0,0,0,4.36714007592555,4.36714007592555
"Z1",30,"Recycling",0.0852300469080801,0.00748117983910015,0,0.061152616408973,0,0,0,0,0.153863843156153,0.153863843156153
"Z1",31,"Fossil-Fuel Electricity",2.90000152108181,0.0408419261860517,0,0.139897966301419,0,0,0,0,3.08074141356928,3.08074141356928
"Z1",32,"Renewable Electricity",0.538985232556603,0.00873417924327674,0,0.022858701116678,0,0,0,0,0.570578112916558,0.570578112916558
"Z1",33,"Energy Transmission, Distribution",3.78917561279382,0.0805290588237797,0,0.190034203303725,0,0,0,0,4.05973887492133,4.05973887492133
"Z1",34,"Gas",0.746636059180258,0.0457235554574772,0,0.090328214516768,0,0,0,0,0.882687829154504,0.882687829154504
"Z1",35,"Water",1.82347638990605,0.118906613516147,0,0.107820925140982,0,0,0,0,2.05020392856318,2.05020392856318
