"region","sector","impact","total_value","output","unit","value"
"RoW","Manufacture of furniture; manufacturing n.e.c. (36)","Extraction",7361.393527485,25931,"ton per million USD output",3.52256674000408
"RoW","Manufacture of furniture; manufacturing n.e.c. (36)","Land",2801.984917348,25931,"ha per million USD output",9.25451091454945
"RoW","Manufacture of furniture; manufacturing n.e.c. (36)","Water",2343.448862099,25931,"ton per million USD output",11.0653150659212
"RoW","Manufacture of gas; distribution of gaseous fuels through mains","Emissions",381405753530.253,25599,"ton GHG per million USD output",6.71174982628297e-08
"RoW","Manufacture of gas; distribution of gaseous fuels through mains","Extraction",7326.02405277192,25599,"ton per million USD output",3.49425552190403
"RoW","Manufacture of gas; distribution of gaseous fuels through mains","Land",786.613571279,25599,"ha per million USD output",32.5432981767364
"RoW","Manufacture of gas; distribution of gaseous fuels through mains","Water",99.948527662,25599,"ton per million USD output",256.121831895005
"RoW","Manufacture of glass and glass products","Emissions",82685748854.93,26027,"ton GHG per million USD output",3.1477008263738e-07
"RoW","Manufacture of glass and glass products","Extraction",8438.02103204051,26027,"ton per million USD output",3.08449100816072
"RoW","Manufacture of glass and glass products","Land",776.913154302,26027,"ha per million USD output",33.5005268682616
"RoW","Manufacture of glass and glass products","Water",114.74816676,26027,"ton per million USD output",226.818438454328
"RoW","Manufacture of other non-metallic mineral products","Emissions",547910694237.75,78323,"ton GHG per million USD output",1.42948478326313e-07
"RoW","Manufacture of other non-metallic mineral products","Extraction",33178.2173700778,78323,"ton per million USD output",2.36067535293914
"RoW","Manufacture of other non-metallic mineral products","Land",1483.958418809,78323,"ha per million USD output",52.7797807588576
"RoW","Manufacture of other non-metallic mineral products","Water",708.616794423,78323,"ton per million USD output",110.529415357387
"RoW","Manufacture of rubber and plastic products (25)","Emissions",72882551011.516,26005,"ton GHG per million USD output",3.56806939920243e-07
"RoW","Manufacture of rubber and plastic products (25)","Extraction",4589.169544117,26005,"ton per million USD output",5.66660258463029
"RoW","Manufacture of rubber and plastic products (25)","Land",3880.10610609,26005,"ha per million USD output",6.70213630477373
"RoW","Manufacture of rubber and plastic products (25)","Water",635.378494369,26005,"ton per million USD output",40.9283603874975
"RoW","Manufacture of textiles","Emissions",331328979678.718,78018,"ton GHG per million USD output",2.3546989483278e-07
"RoW","Manufacture of textiles","Extraction",5398.66691546187,78018,"ton per million USD output",14.4513453453769
"RoW","Manufacture of textiles","Land",27007.827674114,78018,"ha per million USD output",2.88871807615899
"RoW","Manufacture of textiles","Water",3692.095969949,78018,"ton per million USD output",21.1310866876187
"RoW","Manufacture of tobacco products (16)","Emissions",133043784712.237,25962,"ton GHG per million USD output",1.95138766205078e-07
"RoW","Manufacture of tobacco products (16)","Extraction",103.631571881661,25962,"ton per million USD output",250.522109513562
"RoW","Manufacture of tobacco products (16)","Land",37.305300637,25962,"ha per million USD output",695.933273735649
"RoW","Manufacture of tobacco products (16)","Water",6.375419331,25962,"ton per million USD output",4072.20272927958
"RoW","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Emissions",131736135391.86,26050,"ton GHG per million USD output",1.97743769562635e-07
"RoW","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Extraction",5967.34109750182,26050,"ton per million USD output",4.36542834980652
"RoW","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Land",43002.344395867,26050,"ha per million USD output",0.605780925807005
"RoW","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Water",79.587161856,26050,"ton per million USD output",327.314096802864
"RoW","Mining & Quarrying of raw materials","Emissions",478298701212.724,259520,"ton GHG per million USD output",5.42589807043148e-07
"RoW","Mining & Quarrying of raw materials","Extraction",47760821.3652229,259520,"ton per million USD output",0.00543374239767513
"RoW","Mining & Quarrying of raw materials","Land",11475.380291776,259520,"ha per million USD output",22.61537251066
"RoW","Mining & Quarrying of raw materials","Water",689.598237815,259520,"ton per million USD output",376.335068404891
"RoW","Other Services","Emissions",63358245445.7208,102646,"ton GHG per million USD output",1.62008905514811e-06
"RoW","Other Services","Extraction",4988.910547547,102646,"ton per million USD output",20.5748327258483
"RoW","Other Services","Land",4007.481551056,102646,"ha per million USD output",25.6135926497159
"RoW","Other Services","Water",302.174695178,102646,"ton per million USD output",339.690919319154
"RoW","Paper","Emissions",233725937513.05,51592,"ton GHG per million USD output",2.20737161433439e-07
"RoW","Paper","Extraction",5824.8570031474,51592,"ton per million USD output",8.85721314224929
"RoW","Paper","Land",4721.74322612,51592,"ha per million USD output",10.9264730268687
"RoW","Paper","Water",3614.859810017,51592,"ton per million USD output",14.2721993967886
"RoW","Plastics, basic","Emissions",44404936901.46,25895,"ton GHG per million USD output",5.83155878758801e-07
"RoW","Plastics, basic","Extraction",6199.81877291301,25895,"ton per million USD output",4.17673498992183
"RoW","Plastics, basic","Land",315.942650356,25895,"ha per million USD output",81.9610773373644
"RoW","Plastics, basic","Water",10687.831531875,25895,"ton per million USD output",2.42284881856265
"RoW","Processing of Fossil Fuels","Emissions",895316231242.327,77553,"ton GHG per million USD output",8.66207908376559e-08
"RoW","Processing of Fossil Fuels","Extraction",19140.471661784,77553,"ton per million USD output",4.05178103081142
"RoW","Processing of Fossil Fuels","Land",3142.527958958,77553,"ha per million USD output",24.6785393838517
"RoW","Processing of Fossil Fuels","Water",312.581579789,77553,"ton per million USD output",248.104830912782
"RoW","Processing of meat","Emissions",150722423679.044,182708,"ton GHG per million USD output",1.21221511398376e-06
"RoW","Processing of meat","Extraction",76690.0627840267,182708,"ton per million USD output",2.38242079048154
"RoW","Processing of meat","Land",54660.382433168,182708,"ha per million USD output",3.34260376285133
"RoW","Processing of meat","Water",22155.9531134044,182708,"ton per million USD output",8.24645182560263
"RoW","Processing of other food&beverage","Emissions",142533413741.388,104599,"ton GHG per million USD output",7.33855993863893e-07
"RoW","Processing of other food&beverage","Extraction",255558.427273274,104599,"ton per million USD output",0.409295835461337
"RoW","Processing of other food&beverage","Land",13260.092780674,104599,"ha per million USD output",7.88825551450503
"RoW","Processing of other food&beverage","Water",5263.82672421,104599,"ton per million USD output",19.8712848048201
"RoW","Production of electricity by fossil fuels","Emissions",9563414838491.79,103811,"ton GHG per million USD output",1.08550137950903e-08
"RoW","Production of electricity by fossil fuels","Extraction",21148.8453880483,103811,"ton per million USD output",4.90858948066574
"RoW","Production of electricity by fossil fuels","Land",15874.15905267,103811,"ha per million USD output",6.53962201434155
"RoW","Production of electricity by fossil fuels","Water",13136.857286241,103811,"ton per million USD output",7.90227051554616
"RoW","Production of electricity by renewable energy","Emissions",171569659252.088,207134,"ton GHG per million USD output",1.20728805374415e-06
"RoW","Production of electricity by renewable energy","Extraction",8044.54471784102,207134,"ton per million USD output",25.7483807058245
"RoW","Production of electricity by renewable energy","Land",9305.814650367,207134,"ha per million USD output",22.2585563738722
"RoW","Production of electricity by renewable energy","Water",152.563928605,207134,"ton per million USD output",1357.68659010012
"RoW","Public administration and defence; compulsory social security (75)","Emissions",182410931044.4,25815,"ton GHG per million USD output",1.41521124047749e-07
"RoW","Public administration and defence; compulsory social security (75)","Extraction",21765.420137828,25815,"ton per million USD output",1.18605567163548
"RoW","Public administration and defence; compulsory social security (75)","Land",15895.19433833,25815,"ha per million USD output",1.62407577098628
"RoW","Public administration and defence; compulsory social security (75)","Water",907.019101248,25815,"ton per million USD output",28.4613631228716
"RoW","Pulp","Emissions",18839926659.06,25741,"ton GHG per million USD output",1.3663004355498e-06
"RoW","Pulp","Extraction",1773.182968076,25741,"ton per million USD output",14.5168324213775
"RoW","Pulp","Land",3124.23272868,25741,"ha per million USD output",8.23914293058304
"RoW","Pulp","Water",3409.300934317,25741,"ton per million USD output",7.55022818340816
"RoW","Re-processing of Metals","Emissions",351261528082.535,155742,"ton GHG per million USD output",4.43379042533248e-07
"RoW","Re-processing of Metals","Extraction",9234.719015878,155742,"ton per million USD output",16.8648336492123
"RoW","Re-processing of Metals","Land",21.450850177,155742,"ha per million USD output",7260.41153217272
"RoW","Re-processing of Metals","Water",302.41228863815,155742,"ton per million USD output",514.99891324308
"RoW","Re-processing of ash into clinker","Emissions",75957771529.9332,26137,"ton GHG per million USD output",3.44099089185364e-07
"RoW","Re-processing of ash into clinker","Extraction",225.323586868,26137,"ton per million USD output",115.997620858537
"RoW","Re-processing of ash into clinker","Land",0,26137,"ha per million USD output",Inf
"RoW","Re-processing of ash into clinker","Water",10.175690311,26137,"ton per million USD output",2568.57266693206
"RoW","Re-processing of secondary construction material into aggregates","Emissions",49609535211.406,25687,"ton GHG per million USD output",5.17783524690112e-07
"RoW","Re-processing of secondary construction material into aggregates","Extraction",0.639141824,25687,"ton per million USD output",40189.8280404194
"RoW","Re-processing of secondary construction material into aggregates","Land",0,25687,"ha per million USD output",Inf
"RoW","Re-processing of secondary construction material into aggregates","Water",1.59e-05,25687,"ton per million USD output",1615534591.19497
"RoW","Re-processing of secondary glass into new glass","Emissions",21801004586.973,26049,"ton GHG per million USD output",1.19485319569013e-06
"RoW","Re-processing of secondary glass into new glass","Extraction",231.441902249,26049,"ton per million USD output",112.550924214124
"RoW","Re-processing of secondary glass into new glass","Land",0,26049,"ha per million USD output",Inf
"RoW","Re-processing of secondary glass into new glass","Water",2.522158599,26049,"ton per million USD output",10328.0578827708
"RoW","Re-processing of secondary paper into new pulp","Emissions",9604700750.831,25763,"ton GHG per million USD output",2.68233239830725e-06
"RoW","Re-processing of secondary paper into new pulp","Extraction",0.014368918,25763,"ton per million USD output",1792967.29231804
"RoW","Re-processing of secondary paper into new pulp","Land",0.099424905,25763,"ha per million USD output",259120.187240813
"RoW","Re-processing of secondary paper into new pulp","Water",114.136134295,25763,"ton per million USD output",225.721680159695
"RoW","Re-processing of secondary plastic into new plastic","Emissions",45806284372.204,25917,"ton GHG per million USD output",5.65795727708639e-07
"RoW","Re-processing of secondary plastic into new plastic","Extraction",7.824746468,25917,"ton per million USD output",3312.18399292423
"RoW","Re-processing of secondary plastic into new plastic","Land",0,25917,"ha per million USD output",Inf
"RoW","Re-processing of secondary plastic into new plastic","Water",36.379095421,25917,"ton per million USD output",712.414635385334
"RoW","Re-processing of secondary wood material into new wood material","Emissions",14160638707.764,26072,"ton GHG per million USD output",1.84115988961043e-06
"RoW","Re-processing of secondary wood material into new wood material","Extraction",517.47170667,26072,"ton per million USD output",50.3834309469339
"RoW","Re-processing of secondary wood material into new wood material","Land",8161.66786,26072,"ha per million USD output",3.19444511185977
"RoW","Re-processing of secondary wood material into new wood material","Water",0.576234205,26072,"ton per million USD output",45245.491804847
"RoW","Real estate activities (70)","Emissions",63895972934.66,25705,"ton GHG per million USD output",4.02294523729781e-07
"RoW","Real estate activities (70)","Extraction",279.773159389,25705,"ton per million USD output",91.8780059393026
"RoW","Real estate activities (70)","Land",562.474086807,25705,"ha per million USD output",45.6998830753604
"RoW","Real estate activities (70)","Water",6.158495199,25705,"ton per million USD output",4173.90923746663
"RoW","Recycling","Emissions",106417503131.298,51928,"ton GHG per million USD output",4.87964841046224e-07
"RoW","Recycling","Extraction",3817.31722949841,51928,"ton per million USD output",13.6032707993785
"RoW","Recycling","Land",1694.845398052,51928,"ha per million USD output",30.6387827820073
"RoW","Recycling","Water",17.487278503,51928,"ton per million USD output",2969.4729223356
"RoW","Renting of machinery and equipment without operator and of personal and household goods (71)","Emissions",18604568344.235,25727,"ton GHG per million USD output",1.38283240567482e-06
"RoW","Renting of machinery and equipment without operator and of personal and household goods (71)","Extraction",1145.2574874731,25727,"ton per million USD output",22.4639439439633
"RoW","Renting of machinery and equipment without operator and of personal and household goods (71)","Land",0.943443149,25727,"ha per million USD output",27269.2636829991
"RoW","Renting of machinery and equipment without operator and of personal and household goods (71)","Water",4.247037859,25727,"ton per million USD output",6057.63378009012
"RoW","Research and development (73)","Emissions",30771290795.3048,25771,"ton GHG per million USD output",8.37501428569653e-07
"RoW","Research and development (73)","Extraction",3583.855279328,25771,"ton per million USD output",7.19085956083368
"RoW","Research and development (73)","Land",1357.89065426,25771,"ha per million USD output",18.9787004713161
"RoW","Research and development (73)","Water",119.077534847,25771,"ton per million USD output",216.422014724377
