"region","sector","impact","total_value","output","unit","value"
"EU","Construction (45)","Land",1611.547842621,31956,"ha per million USD output",19.8293833759395
"EU","Construction (45)","Water",86.97467412,31956,"ton per million USD output",367.417300764012
"EU","Education (80)","Emissions",9476387186.6118,31892,"ton GHG per million USD output",3.36541757654825e-06
"EU","Education (80)","Extraction",135.446626037,31892,"ton per million USD output",235.45806147499
"EU","Education (80)","Land",472.005063055,31892,"ha per million USD output",67.5670718309304
"EU","Education (80)","Water",29.177236936,31892,"ton per million USD output",1093.04387080774
"EU","Extraction of Fossil-Fuels","Emissions",157315330251.879,158115,"ton GHG per million USD output",1.0050832283595e-06
"EU","Extraction of Fossil-Fuels","Extraction",3662051.51807245,158115,"ton per million USD output",0.0431766181386834
"EU","Extraction of Fossil-Fuels","Land",1.745375517,158115,"ha per million USD output",90590.8204050968
"EU","Extraction of Fossil-Fuels","Water",17.529475739,158115,"ton per million USD output",9019.95030280466
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Emissions",4043804147.05795,31542,"ton GHG per million USD output",7.80008102591918e-06
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Extraction",256.940940583,31542,"ton per million USD output",122.759728085493
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Land",210.116169272,31542,"ha per million USD output",150.11695724934
"EU","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Water",100.727410647,31542,"ton per million USD output",313.142170511453
"EU","Forestry, logging and related service activities (02)","Emissions",8124000208.69591,31515,"ton GHG per million USD output",3.8792465768608e-06
"EU","Forestry, logging and related service activities (02)","Extraction",309557.086771164,31515,"ton per million USD output",0.101806746951644
"EU","Forestry, logging and related service activities (02)","Land",1269107.71367517,31515,"ha per million USD output",0.0248324075729842
"EU","Forestry, logging and related service activities (02)","Water",2739.208831587,31515,"ton per million USD output",11.5051469010274
"EU","Health and social work (85)","Emissions",16946694763.26,31919,"ton GHG per million USD output",1.88349412353845e-06
"EU","Health and social work (85)","Extraction",65.237928337,31919,"ton per million USD output",489.270594785227
"EU","Health and social work (85)","Land",129.749285963,31919,"ha per million USD output",246.005207374337
"EU","Health and social work (85)","Water",159.776506537,31919,"ton per million USD output",199.772799467288
"EU","Incineration of Waste","Emissions",14472132159.4477,222777,"ton GHG per million USD output",1.5393516141612e-05
"EU","Incineration of Waste","Extraction",400.720512553,222777,"ton per million USD output",555.941093658227
"EU","Incineration of Waste","Land",63.458094844,222777,"ha per million USD output",3510.61595132435
"EU","Incineration of Waste","Water",9.9978386312816,222777,"ton per million USD output",22282.5160733208
"EU","KIBS","Emissions",65670010670.3807,190272,"ton GHG per million USD output",2.8973956004825e-06
"EU","KIBS","Extraction",3110.391590472,190272,"ton per million USD output",61.1730048984367
"EU","KIBS","Land",1015.526979215,190272,"ha per million USD output",187.362821366971
"EU","KIBS","Water",349.41241505,190272,"ton per million USD output",544.548481406342
"EU","Landfill of Waste","Emissions",197681489591.467,190113,"ton GHG per million USD output",9.61713716306427e-07
"EU","Landfill of Waste","Extraction",1044.648818378,190113,"ton per million USD output",181.987474312357
"EU","Landfill of Waste","Land",93.052618449,190113,"ha per million USD output",2043.06985841776
"EU","Landfill of Waste","Water",11.2567095137,190113,"ton per million USD output",16888.8607961876
"EU","Leisure Services","Emissions",18551062431.2622,63569,"ton GHG per million USD output",3.42670400876198e-06
"EU","Leisure Services","Extraction",1104.153420853,63569,"ton per million USD output",57.5726151814035
"EU","Leisure Services","Land",4662.649864909,63569,"ha per million USD output",13.6336636551715
"EU","Leisure Services","Water",76.267307545,63569,"ton per million USD output",833.502611357984
"EU","Manufacture of Chemicals","Emissions",36456090479.0467,94923,"ton GHG per million USD output",2.60376246472609e-06
"EU","Manufacture of Chemicals","Extraction",7569.0348301973,94923,"ton per million USD output",12.5409648825101
"EU","Manufacture of Chemicals","Land",60.160193985,94923,"ha per million USD output",1577.83733250042
"EU","Manufacture of Chemicals","Water",996.199462252,94923,"ton per million USD output",95.2851347514461
"EU","Manufacture of Metals","Emissions",75737520299.3965,222019,"ton GHG per million USD output",2.93142684263151e-06
"EU","Manufacture of Metals","Extraction",15127.077036873,222019,"ton per million USD output",14.6769266434499
"EU","Manufacture of Metals","Land",0,222019,"ha per million USD output",Inf
"EU","Manufacture of Metals","Water",449.49637186471,222019,"ton per million USD output",493.928347138747
"EU","Manufacture of cement, lime and plaster","Emissions",120266472438.408,31474,"ton GHG per million USD output",2.61702196479727e-07
"EU","Manufacture of cement, lime and plaster","Extraction",97618.91631571,31474,"ton per million USD output",0.322417019035632
"EU","Manufacture of cement, lime and plaster","Land",2.194606304,31474,"ha per million USD output",14341.5244650641
"EU","Manufacture of cement, lime and plaster","Water",124.683619487,31474,"ton per million USD output",252.43091377598
"EU","Manufacture of durable goods","Emissions",59848853663.5248,253180,"ton GHG per million USD output",4.23032329780949e-06
"EU","Manufacture of durable goods","Extraction",14269.29873568,253180,"ton per million USD output",17.7429882638122
"EU","Manufacture of durable goods","Land",905.884626693,253180,"ha per million USD output",279.483714084268
"EU","Manufacture of durable goods","Water",467.090502154,253180,"ton per million USD output",542.036283830336
"EU","Manufacture of furniture; manufacturing n.e.c. (36)","Emissions",15068394273.929,31416,"ton GHG per million USD output",2.08489368069929e-06
"EU","Manufacture of furniture; manufacturing n.e.c. (36)","Extraction",2676.68368576,31416,"ton per million USD output",11.7369116743729
"EU","Manufacture of furniture; manufacturing n.e.c. (36)","Land",9257.677174265,31416,"ha per million USD output",3.3935078323245
"EU","Manufacture of furniture; manufacturing n.e.c. (36)","Water",181.199397007,31416,"ton per million USD output",173.378060407046
"EU","Manufacture of gas; distribution of gaseous fuels through mains","Emissions",58840338195.9781,31875,"ton GHG per million USD output",5.41720203813831e-07
"EU","Manufacture of gas; distribution of gaseous fuels through mains","Extraction",25625.438136187,31875,"ton per million USD output",1.24388117114718
"EU","Manufacture of gas; distribution of gaseous fuels through mains","Land",3.216296729,31875,"ha per million USD output",9910.46619318313
"EU","Manufacture of gas; distribution of gaseous fuels through mains","Water",9.955570501,31875,"ton per million USD output",3201.72510423167
"EU","Manufacture of glass and glass products","Emissions",11053687013.8495,31722,"ton GHG per million USD output",2.86981167100665e-06
"EU","Manufacture of glass and glass products","Extraction",27582.864073924,31722,"ton per million USD output",1.15006186141449
"EU","Manufacture of glass and glass products","Land",0.135359224,31722,"ha per million USD output",234354.180399261
"EU","Manufacture of glass and glass products","Water",20.059328667,31722,"ton per million USD output",1581.40885602949
"EU","Manufacture of other non-metallic mineral products","Emissions",48658726235.588,94395,"ton GHG per million USD output",1.93993980736309e-06
"EU","Manufacture of other non-metallic mineral products","Extraction",88616.7591369385,94395,"ton per million USD output",1.06520483167447
"EU","Manufacture of other non-metallic mineral products","Land",0.515632924,94395,"ha per million USD output",183066.277590917
"EU","Manufacture of other non-metallic mineral products","Water",122.507894989,94395,"ton per million USD output",770.521769298834
"EU","Manufacture of rubber and plastic products (25)","Emissions",3740936091.4222,31695,"ton GHG per million USD output",8.47247833842316e-06
"EU","Manufacture of rubber and plastic products (25)","Extraction",428.789393067,31695,"ton per million USD output",73.9174068026621
"EU","Manufacture of rubber and plastic products (25)","Land",5.962085086,31695,"ha per million USD output",5316.09320276648
"EU","Manufacture of rubber and plastic products (25)","Water",50.529702142,31695,"ton per million USD output",627.254835402152
"EU","Manufacture of textiles","Emissions",8421193857.64975,94857,"ton GHG per million USD output",1.12640798446686e-05
"EU","Manufacture of textiles","Extraction",117.879287037,94857,"ton per million USD output",804.696078372329
"EU","Manufacture of textiles","Land",185.66445427,94857,"ha per million USD output",510.905549330706
"EU","Manufacture of textiles","Water",464.608597486,94857,"ton per million USD output",204.165399678938
"EU","Manufacture of tobacco products (16)","Emissions",4411405375.25548,31565,"ton GHG per million USD output",7.15531612149155e-06
"EU","Manufacture of tobacco products (16)","Extraction",2.126493866,31565,"ton per million USD output",14843.6826010576
"EU","Manufacture of tobacco products (16)","Land",1.003716681,31565,"ha per million USD output",31448.1173796493
"EU","Manufacture of tobacco products (16)","Water",3.70612584,31565,"ton per million USD output",8516.98009261337
"EU","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Emissions",5857216997.03,31673,"ton GHG per million USD output",5.40751691734493e-06
"EU","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Extraction",2552.432560459,31673,"ton per million USD output",12.4089468574654
"EU","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Land",9355.81146358,31673,"ha per million USD output",3.38538245702103
"EU","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Water",29.849502498,31673,"ton per million USD output",1061.08971170029
"EU","Mining & Quarrying of raw materials","Emissions",58461229861.6354,315784,"ton GHG per million USD output",5.40159693436813e-06
"EU","Mining & Quarrying of raw materials","Extraction",3411602.56369225,315784,"ton per million USD output",0.092561778256562
"EU","Mining & Quarrying of raw materials","Land",1.510429971,315784,"ha per million USD output",209068.944646888
"EU","Mining & Quarrying of raw materials","Water",15.18919620623,315784,"ton per million USD output",20790.0402175645
"EU","Other Services","Emissions",7439816430.27743,127363,"ton GHG per million USD output",1.71191051813695e-05
"EU","Other Services","Extraction",470.728688442,127363,"ton per million USD output",270.56562118944
"EU","Other Services","Land",1489.377699207,127363,"ha per million USD output",85.5142386433023
"EU","Other Services","Water",79.509199215,127363,"ton per million USD output",1601.86495723091
"EU","Paper","Emissions",22595265729.0425,63589,"ton GHG per million USD output",2.81426210085534e-06
"EU","Paper","Extraction",799.835515853,63589,"ton per million USD output",79.5025961458892
"EU","Paper","Land",2422.187328562,63589,"ha per million USD output",26.2527176367285
"EU","Paper","Water",349.479559086,63589,"ton per million USD output",181.953417150649
"EU","Plastics, basic","Emissions",38970498696.6549,31560,"ton GHG per million USD output",8.09843370126259e-07
"EU","Plastics, basic","Extraction",40276.040954695,31560,"ton per million USD output",0.783592410075773
"EU","Plastics, basic","Land",2.189098275,31560,"ha per million USD output",14416.8950112575
"EU","Plastics, basic","Water",233.854687414,31560,"ton per million USD output",134.955601484816
"EU","Processing of Fossil Fuels","Emissions",138418730836.308,95230,"ton GHG per million USD output",6.87984923894566e-07
"EU","Processing of Fossil Fuels","Extraction",1695.661335584,95230,"ton per million USD output",56.1609786114525
"EU","Processing of Fossil Fuels","Land",0,95230,"ha per million USD output",Inf
"EU","Processing of Fossil Fuels","Water",33.7209800769,95230,"ton per million USD output",2824.05789460537
"EU","Processing of meat","Emissions",17989972935.8889,219904,"ton GHG per million USD output",1.22236982114245e-05
"EU","Processing of meat","Extraction",2330.376043026,219904,"ton per million USD output",94.3641695331085
"EU","Processing of meat","Land",178.307925454,219904,"ha per million USD output",1233.28225282241
"EU","Processing of meat","Water",1409.642163032,219904,"ton per million USD output",155.999874129054
"EU","Processing of other food&beverage","Emissions",29345313970.6605,125882,"ton GHG per million USD output",4.28967978076012e-06
"EU","Processing of other food&beverage","Extraction",1894.503351189,125882,"ton per million USD output",66.4459104392694
"EU","Processing of other food&beverage","Land",164.161199466,125882,"ha per million USD output",766.819445822043
"EU","Processing of other food&beverage","Water",1068.935894502,125882,"ton per million USD output",117.763844069102
"EU","Production of electricity by fossil fuels","Emissions",612665544424.268,126204,"ton GHG per million USD output",2.05991672207707e-07
"EU","Production of electricity by fossil fuels","Extraction",34462.471921786,126204,"ton per million USD output",3.66207044829591
"EU","Production of electricity by fossil fuels","Land",8.670685912,126204,"ha per million USD output",14555.2498707556
"EU","Production of electricity by fossil fuels","Water",2295.87250696278,126204,"ton per million USD output",54.9699513440996
"EU","Production of electricity by renewable energy","Emissions",40535516625.5084,253542,"ton GHG per million USD output",6.25481111644324e-06
"EU","Production of electricity by renewable energy","Extraction",1442.3512690341,253542,"ton per million USD output",175.783809009153
"EU","Production of electricity by renewable energy","Land",2.471191971,253542,"ha per million USD output",102599.070802824
"EU","Production of electricity by renewable energy","Water",192.524652686753,253542,"ton per million USD output",1316.93264453008
"EU","Public administration and defence; compulsory social security (75)","Emissions",17245105789.29,31865,"ton GHG per million USD output",1.84777063065566e-06
"EU","Public administration and defence; compulsory social security (75)","Extraction",4525.2176256,31865,"ton per million USD output",7.04165028875821
"EU","Public administration and defence; compulsory social security (75)","Land",6679.578351091,31865,"ha per million USD output",4.77051070069346
"EU","Public administration and defence; compulsory social security (75)","Water",650.596194123,31865,"ton per million USD output",48.9781530968742
"EU","Pulp","Emissions",5131637646.3353,31727,"ton GHG per million USD output",6.1826267142337e-06
"EU","Pulp","Extraction",177.97080873,31727,"ton per million USD output",178.270808715227
"EU","Pulp","Land",835.620707957,31727,"ha per million USD output",37.9681830499019
"EU","Pulp","Water",267.772817671,31727,"ton per million USD output",118.484767333559
"EU","Re-processing of Metals","Emissions",47644443187.3468,190302,"ton GHG per million USD output",3.99421185911854e-06
"EU","Re-processing of Metals","Extraction",4974.969376281,190302,"ton per million USD output",38.2518937518081
"EU","Re-processing of Metals","Land",0,190302,"ha per million USD output",Inf
"EU","Re-processing of Metals","Water",238.70697594,190302,"ton per million USD output",797.220103227453
"EU","Re-processing of ash into clinker","Emissions",31130222577.89,31501,"ton GHG per million USD output",1.01191052910664e-06
"EU","Re-processing of ash into clinker","Extraction",19007.586709758,31501,"ton per million USD output",1.65728561342447
"EU","Re-processing of ash into clinker","Land",0.059719368,31501,"ha per million USD output",527483.813961327
"EU","Re-processing of ash into clinker","Water",29.237993895,31501,"ton per million USD output",1077.39949988111
"EU","Re-processing of secondary construction material into aggregates","Emissions",8846229045.78039,31983,"ton GHG per million USD output",3.6154388309961e-06
"EU","Re-processing of secondary construction material into aggregates","Extraction",237.013647434,31983,"ton per million USD output",134.941596596905
"EU","Re-processing of secondary construction material into aggregates","Land",2.670725504,31983,"ha per million USD output",11975.3976783082
"EU","Re-processing of secondary construction material into aggregates","Water",0.085304396,31983,"ton per million USD output",374927.922823579
"EU","Re-processing of secondary glass into new glass","Emissions",5483363751.48785,31393,"ton GHG per million USD output",5.72513541372882e-06
"EU","Re-processing of secondary glass into new glass","Extraction",11728.5371288717,31393,"ton per million USD output",2.67663389347347
