"input_region","input_sector","input_num","output_region","output_sector","value","output_num","input_label","output_label"
"EU","Agriculture",1,"EU","Landfill.of.Waste",0.000433825070671611,53,"Agriculture","Waste Landfill"
"EU","Agriculture",1,"EU","Other.Services",0.00045122728493965,54,"Agriculture","Other Services"
"EU","Agriculture",1,"RoW","Agriculture",0.000514001855657702,1,"Agriculture","Agriculture"
"EU","Agriculture",1,"RoW","Animal.Farming",0.000729439810166245,2,"Agriculture","Animal Farming"
"EU","Agriculture",1,"RoW","Forestry,.logging.and.related.service.activities.(02)",0.000401919543344402,3,"Agriculture","Forestry, Logging"
"EU","Agriculture",1,"RoW","Fishing,.operating.of.fish.hatcheries.and.fish.farms;.service.activities.incidental.to.fishing.(05)",3.34124051875456e-05,4,"Agriculture","Fishing"
"EU","Agriculture",1,"RoW","Extraction.of.Fossil-Fuels",4.36321050639527e-05,5,"Agriculture","Fossil-Fuel Extraction"
"EU","Agriculture",1,"RoW","Mining.&.Quarrying.of.raw.materials",6.90572657483774e-05,6,"Agriculture","Mining"
"EU","Agriculture",1,"RoW","Processing.of.meat",0.000257732935279868,7,"Agriculture","Meat"
"EU","Agriculture",1,"RoW","Processing.of.other.food&beverage",0.00118275936096351,8,"Agriculture","Other Food"
"EU","Agriculture",1,"RoW","Manufacture.of.tobacco.products.(16)",0.00350400276411576,9,"Agriculture","Tobacco"
"EU","Agriculture",1,"RoW","Manufacture.of.textiles",0.000327889425011261,10,"Agriculture","Textiles"
"EU","Agriculture",1,"RoW","Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)",0.000152644386700791,11,"Agriculture","Wood"
"EU","Agriculture",1,"RoW","Re-processing.of.secondary.wood.material.into.new.wood.material",2.63982165024399e-05,12,"Agriculture","Wood Re-processing"
"EU","Agriculture",1,"RoW","Pulp",0.000208855320788775,13,"Agriculture","Pulp"
"EU","Agriculture",1,"RoW","Re-processing.of.secondary.paper.into.new.pulp",5.19035757942781e-05,14,"Agriculture","Pulp Re-processing"
"EU","Agriculture",1,"RoW","Paper",4.39772026165221e-05,15,"Agriculture","Paper"
"EU","Agriculture",1,"RoW","Processing.of.Fossil.Fuels",4.34971609767572e-05,16,"Agriculture","Fossil-Fuel Processing"
