t,H,V,nu_wheat,nu_iron,nu_pigs
0.0,0.4594089159917992,1.8289039548022596,0.4677247958086718,0.21403328843801356,0.31824191575331456
0.02,0.45827927339568614,1.833970462159365,0.466340432013762,0.21401643634671075,0.31964313163952734
0.04,0.4568829283647949,1.8390429993598956,0.46496129547897563,0.21400057434835768,0.3210381301726667
0.06,0.4552189663829404,1.844118302956857,0.46358828126917945,0.21398586755623145,0.3224258511745891
0.08,0.45328665534862245,1.8491930245781183,0.46222228713154934,0.21397248531830879,0.32380522755014185
0.1,0.45108545080069407,1.8542637332181073,0.4608642126298198,0.21396060100393144,0.32517518636624865
0.12,0.4486150010512658,1.859326917849617,0.4595149582589408,0.21395039177274663,0.32653464996831255
0.14,0.4458751522083766,1.8643789903622647,0.45817542454176047,0.2139420383261734,0.32788253713206617
0.16,0.4428659530705644,1.8694162888330146,0.4568465111094315,0.2139357246417131,0.3292177642488554
0.18,0.43958765987493736,1.8744350811329618,0.4555291157673066,0.2139316376904947,0.33053924654219874
0.2,0.43604074087999534,1.8794315688732561,0.45422413354815655,0.21392996713851573,0.33184589931332786
0.22,0.43222588076410406,1.8844018916916236,0.45293245575459956,0.21393090503210963,0.33313663921329084
0.24,0.42814398482021354,1.8893421318794439,0.45165496899268187,0.21393464546824312,0.33441038553907504
0.26,0.4237961829272576,1.894248319347767,0.4503925541985897,0.21394138425031062,0.33566606155109957
0.28,0.41918383327858255,1.8991164369289677,0.44914608566050906,0.21395131853016647,0.3369025958093244
0.3,0.4143085258475858,1.9039424260090152,0.4479164300376738,0.2139646464371974,0.33811892352512873
0.32,0.4091720855710197,1.9087221924835367,0.44670444537865955,0.21398156669530286,0.3393139879260376
0.34,0.40377657523033916,1.9134516130289971,0.4455109801409939,0.21400227822871198,0.3404867416302941
0.36,0.3981242980119044,1.9181265416784294,0.444336872214149,0.21402697975762472,0.3416361480282262
0.38,0.39221779972702575,1.922742816689231,0.4431829479479788,0.2140558693847194,0.3427611826673019
0.4,0.38605987067352887,1.927296267688601,0.44205002118864706,0.2140891441736215,0.3438608346377314
0.42,0.3796535471208051,1.9317827230802425,0.44093889232406913,0.21412699972047733,0.34493410795545354
0.44,0.3730021124012193,1.936198017694038,0.43985034734085815,0.21416962971981807,0.3459800229393237
0.46,0.3661090975913738,1.9405380006584838,0.4387851568947312,0.21421722552594388,0.3469976175793249
0.48,0.35897828176777274,1.9447985434738149,0.4377440753962816,0.21426997571108886,0.34798594889262957
0.5,0.35161369182221885,1.9489755482619369,0.4367278401139774,0.21432806562166298,0.3489440942643596
0.52,0.3440196018236802,1.953064956167553,0.4357371702961838,0.21439167693388925,0.34987115276992703
0.54,0.3362005319143353,1.957062755883233,0.4347727663139461,0.2144609872101787,0.35076624647587523
0.56,0.3281612467289874,1.960964992269622,0.4338353088262032,0.21453616945760015,0.3516285217161967
0.58,0.3199067533284049,1.9647677750405919,0.43292545796902515,0.2146173916898142,0.35245715034116076
0.6,0.3114422986387237,1.9684672874818496,0.4320438525703965,0.2147048164938436,0.35325133093575994
0.62,0.30277336639061553,1.972059795170403,0.43119110939198435,0.21479860060305703,0.3540102900049587
0.64,0.29390567355366665,1.9755416546613327,0.43036782239924654,0.21489889447773408,0.3547332831230194
0.66,0.284845166263225,1.9789093221075438,0.42957456206115613,0.21500584189457164,0.35541959604427237
0.68,0.2755980152387102,1.9821593617776083,0.4288118746807245,0.21511957954647515,0.3560685457728004
0.7000000000000001,0.2661706106944697,1.9852884544364184,0.42808028175742385,0.21524023665395908,0.35667948158861706
0.72,0.2565695567460443,1.9882934055532377,0.4273802793825198,0.21536793458945244,0.3572517860280277
0.74,0.24680166531681932,1.9911711533017773,0.42671233766823663,0.21550278651577723,0.35778487581598617
0.76,0.23687394955203422,1.993918776317242,0.42607690021159034,0.21564489704002976,0.3582782027483799
0.78,0.22679361674916704,1.9965335011757892,0.4254743835936394,0.21579436188405576,0.3587312545223047
0.8,0.21656806081571536,1.9990127095626185,0.42490517691481583,0.21595126757266397,0.3591435555125203
0.8200000000000001,0.2062048542675175,2.0013539450958886,0.424369641366916,0.21611569114067278,0.3595146674924112
0.84,0.1957117397826162,2.00355491977487,0.4238681098422519,0.21628769985983404,0.3598441902979141
0.86,0.1850966213278628,2.0056135200221967,0.4234008865803768,0.21646735098661438,0.360131762433009
0.88,0.17436755487712546,2.007527812291722,0.42296824685273127,0.21665469153175834,0.36037706161551053
0.9,0.16353273874207205,2.009296048215354,0.422570436685474,0.21684975805248818,0.3605798052620378
0.92,0.15260050353805887,2.0109166692643106,0.4222076726206921,0.21705257646812845,0.3607397509111794
0.9400000000000001,0.14157930180951345,2.0123883109024674,0.4218801415161172,0.21726316189987105,0.3608566965840117
0.96,0.1304776973407522,2.013709806211885,0.42158800038340716,0.21748151853532016,0.3609304810812728
0.98,0.11930435417959266,2.0148801889731556,0.4213313762649878,0.21770763951838148,0.36096098421663075
1.0,0.10806802540256155,2.015898696185902,0.4211103661493901,0.21794150686497793,0.36094812698563183
1.02,0.0967775416516703,2.0167647700175455,0.4209250369249592,0.21818309140499298,0.36089187167004777
1.04,0.08544179947384974,2.0174780591713644,0.42077542537175394,0.21843235275075873,0.3607922218774872
1.06,0.07406974949502071,2.0180384196677834,0.4206615381914065,0.21868923929232098,0.36064922251627235
1.08,0.06267038446164448,2.018445915035865,0.42058335207465414,0.21895368821962538,0.36046295970572045
1.1,0.051252727183070404,2.0187008159149498,0.42054081380620933,0.21922562557168346,0.3602335606221071
1.12,0.03982581840854792,2.0188035990694124,0.420533840406587,0.2195049663126879,0.35996119328072523
1.1400000000000001,0.02839870467306933,2.018754945822491,0.4205623193104569,0.21979161443495632,0.3596460662545868
1.16,0.01698042614616,2.0185557399180403,0.4206261085810496,0.22008546308849908,0.3592884283304512
1.18,0.005580004517844354,2.0182070648219392,0.4207250371600942,0.22038639473691302,0.35888856810299274
1.2,-0.005793569044359709,2.017710200477625,0.42085890515272717,0.22069428133921903,0.35844681350805363
1.22,-0.01713134583391155,2.017066619532852,0.4210274841467667,0.22100898455717544,0.3579635312960579
1.24,-0.028424431406289044,2.016277983057302,0.42123051756570334,0.22133035598751005,0.35743912644678655
1.26,-0.03966399721045338,2.0153461357729774,0.4214677210547181,0.22165823741843604,0.356874041526846
1.28,-0.05084129201942955,2.014273100821534,0.42173878289899386,0.22199246110972978,0.35626875599127644
1.3,-0.0619476531298225,2.0130610740946446,0.42204336447354646,0.22233285009557482,0.3556237854308787
1.32,-0.07297451730122602,2.01171241815533,0.4223811007237568,0.2226792185092952,0.35493968076694804
1.34,-0.0839134314078066,2.0102296557797477,0.4227516006757435,0.22303137192903233,0.35421702739522415
1.36,-0.09475606277581769,2.0086154631503073,0.4231544479756758,0.22338910774334525,0.35345644428097894
1.3800000000000001,-0.10549420918227366,2.0068726627321394,0.4235892014570769,0.22375221553565278,0.3526585830072702
1.4000000000000001,-0.11611980849174755,2.005004215865864,0.4240553957351317,0.22412047748636804,0.3518241267785002
1.42,-0.12662494790997036,2.0030132151103013,0.4245525418269651,0.22449366879152294,0.3509537893815121
1.44,-0.1370018728346429,2.000902876369251,0.42508012779681564,0.22487155809662288,0.3500483141065615
1.46,-0.14724299528589402,1.9986765308367014,0.425637619424987,0.22525390794442537,0.3491084726305876
1.48,-0.15734090190053754,1.9963376167948852,0.4262244608994153,0.22564047523529102,0.34813506386529364
1.5,-0.16728836147649143,1.9938896712993917,0.42684007552865066,0.22603101169871814,0.3471289127726313
1.52,-0.17707833205545137,1.9913363217851863,0.427483866475009,0.22642526437463825,0.3460908691503528
1.54,-0.18670396753406743,1.988681277626795,0.42815521750661173,0.2268229761030226,0.3450218063903656
1.56,-0.19615862379576,1.985928321685155,0.4288534937669903,0.22722388602032892,0.3439226202126809
1.58,-0.20543586435739364,1.9830813018727163,0.42957804256089693,0.22762773006130055,0.3427942273778025
1.6,-0.214529465526869,1.980144122767253,0.4303281941549321,0.22803424146462226,0.34163756438044557
1.62,-0.22343342106964886,1.977120737303666,0.4311032625915584,0.22844315128093154,0.3404535861275101
1.6400000000000001,-0.23214194638410424,1.9740151385716427,0.43190254651504917,0.22885418888168801,0.3392432646032628
1.6600000000000001,-0.24064948218735063,1.9708313517456055,0.4327253300078903,0.22926708246741156,0.338007587524698
1.68,-0.2489506977150433,1.9675734261717952,0.433570883436128,0.2296815595738143,0.33674755699005765
1.7,-0.2570404934401524,1.9642454276356778,0.4344384643021395,0.23009734757437186,0.3354641881234886
1.72,-0.26491400331751375,1.9608514308311538,0.4353273181032853,0.23051417417790718,0.3341585077188075
1.74,-0.272566596562196,1.9573955120512723,0.43623667919488973,0.23093176791978892,0.33283155288532124
1.76,-0.27999387897138256,1.9538817421183483,0.43716577165598985,0.23134985864538735,0.33148436969862277
1.78,-0.2871916938006565,1.9503141795695538,0.43811381015628864,0.23176817798447147,0.33011801185923995
1.8,-0.2941561222067654,1.9466968641122138,0.43908000082275117,0.2321864598152797,0.32873353936196914
1.82,-0.3008834832701316,1.9430338103612208,0.440063542104288,0.23260444071704808,0.327332017178664
1.84,-0.3073703336113173,1.9393290018691536,0.44106362563298207,0.23302186040983733,0.3259145139571806
1.86,-0.31361346661655876,1.9355863854579174,0.44207943708033215,0.23343846218056238,0.32448210073910555
1.8800000000000001,-0.3196099112883074,1.93180986585898,0.443110157007005,0.2338539932941896,0.32303584969880533
1.9000000000000001,-0.32535693073739014,1.9280033006675823,0.44415496170462054,0.23426820538913942,0.32157683290624
1.92,-0.3308520203339518,1.9241704956146706,0.44521302402811896,0.23468085485599907,0.320106121115882
1.94,-0.3360929055348173,1.9203152001587402,0.44628351421730156,0.23509170319872635,0.3186247825839721
1.96,-0.34107753940541236,1.9164411033982756,0.44736560070617337,0.23550051737760078,0.31713388191622593
1.98,-0.34580409985446,1.912551830304067,0.44845845091876624,0.23590707013325551,0.31563447894797825
2.0,-0.3502709866000069,1.9086509382693473,0.4495612320501688,0.2363111402912022,0.314127627658629
2.02,-0.35447681788543556,1.9047419139744517,0.45067311183154374,0.23671251304634172,0.31261437512211454
2.04,-0.3584204269639849,1.9008281705615422,0.45179325927797553,0.23711098022703278,0.31109576049499166
2.06,-0.36210085837046335,1.8969130451138856,0.45292084541805006,0.23750634053837116,0.3095728140435788
2.08,-0.3655173639984368,1.8929997964331886,0.45405504400413554,0.23789839978441157,0.3080465562114528
2.1,-0.36866939900116863,1.8890916031076253,0.4551950322024035,0.23828697106914434,0.3065179967284521
2.12,-0.37155661753425084,1.8851915618624002,0.45633999126169783,0.23867187497611522,0.304988133762187
2.14,-0.37417886835740366,1.8813026861839919,0.45748910716043745,0.2390529397266537,0.3034579531129088
2.16,-0.37653619031271685,1.8774279052086162,0.45864157123081134,0.23943000131674994,0.3019284274524387
2.18,-0.37862880769605145,1.8735700628649266,0.4597965807596019,0.2398029036326919,0.3004005156077061
2.2,-0.3804571255377723,1.869731917260527,0.4609533395650558,0.24017149854564285,0.29887516188930136
2.22,-0.38202172480868885,1.8659161403015205,0.4621110585492931,0.2405356459854088,0.2973532954652982
2.24,-0.3833233575661638,1.8621253175340295,0.46326895622583464,0.24089521399370553,0.2958358297804598
2.2600000000000002,-0.3843629420550887,1.8583619481964164,0.46442625922190023,0.24125007875729798,0.2943236620208019
2.2800000000000002,-0.38514155777764447,1.8546284454708042,0.46558220275521195,0.2416001246214402,0.2928176726233478
2.3000000000000003,-0.38566044054514803,1.8509271369223979,0.46673603108511913,0.24194524408409793,0.29131872483078297
2.32,-0.3859209775245947,1.8472602651151229,0.46788699793793265,0.24228533777148312,0.2898276642905842
2.34,-0.38592470229201037,1.8436299883921068,0.4690343669064397,0.24262031439547901,0.2883453186980813
2.36,-0.3856732899038089,1.8400383818096515,0.4701774118236389,0.24295009069357137,0.2868724974827897
2.38,-0.3851685519969504,1.8364874382134537,0.4713154171108112,0.24327459135194263,0.28540999153724617
2.4,-0.3844124319277574,1.8329790694460377,0.4724476781001123,0.24359374891241609,0.28395857298747174
2.42,-0.383406999958797,1.8295151076745633,0.4735735013319376,0.2439075036639684,0.28251899500409394
2.44,-0.3821544485024417,1.8260973068284354,0.4746922048273798,0.24421580351955297,0.2810919916530673
2.46,-0.38065708742909965,1.8227273441364233,0.4758031183361542,0.2445186038789979,0.27967827778484783
2.48,-0.3789173394475071,1.8194068217532908,0.47690558356043466,0.24481586747876088,0.27827854896080445
2.5,-0.3769377355638242,1.8161372684662955,0.47799895435508916,0.24510756422933444,0.27689348141557646
2.52,-0.374720910625571,1.81292014147223,0.47908259690486305,0.24539367104110676,0.2755237320540302
2.54,-0.37226959895603273,1.8097568282160617,0.48015588987910146,0.24567417163948976,0.27416993848140886
2.56,-0.3695866300839576,1.8066486482825983,0.4812182245646502,0.2459490563701256,0.27283271906522427
2.58,-0.3666749245730666,1.8035968553329773,0.48226900497761394,0.24621832199498778,0.2715126730273983
2.6,-0.36353748995512,1.8006026390781738,0.48330764795468806,0.24648197148018447,0.2702103805651276
2.62,-0.36017741676990744,1.7976671272821132,0.4843335832248134,0.2467400137762676,0.268926402998919
2.64,-0.3565978747149732,1.7947913877873554,0.48534625346193644,0.24699246359184174,0.26766128294622177
2.66,-0.35280210890755187,1.7919764305567183,0.48634511431967786,0.2472393411612562,0.26641554451906596
2.68,-0.3487934362604341,1.7892232097245881,0.4873296344487408,0.24748067200714594,0.26518969354411337
2.7,-0.3445752419734792,1.7865326256520433,0.4882992954979054,0.24771648669857704,0.2639842178035176
2.72,-0.3401509761417114,1.7839055269802955,0.48925359209947555,0.24794682060552795,0.2627995872949965
2.74,-0.335524150480781,1.7813427126773165,0.4901920318400513,0.24817171365042268,0.26163625450952605
2.7600000000000002,-0.33069833517011354,1.7788449340728736,0.4911141352175139,0.24839121005740808,0.26049465472507805
2.7800000000000002,-0.3256771558138117,1.7764128968775428,0.4920194355851162,0.2486053581000464,0.2593752063148374
2.8000000000000003,-0.32046429051898484,1.774047263181597,0.4929074790835706,0.2488142098480703,0.2582783110683591
2.82,-0.31506346709096184,1.771748653430001,0.49377782456203173,0.24901782091382185,0.2572043545241463
2.84,-0.30947846034448395,1.7695176483700414,0.4946300434888659,0.24921625019897406,0.25615370631216
2.86,-0.3037130895298452,1.7673547909684129,0.495463719853096,0.24940955964210323,0.2551267205048008
2.88,-0.2977712158726028,1.765260588294881,0.49627845005740245,0.24959781396766073,0.2541237359749367
2.9,-0.29165674022533583,1.7632355133698867,0.49707384280355255,0.2497810804368596,0.2531450767595878
2.92,-0.2853736008297403,1.7612800069737287,0.4978495189711173,0.24995942860096862,0.2521910524279141
2.94,-0.2789257711870948,1.7593944794151892,0.49860511149032666,0.25013293005747905,0.25126195845219434
2.96,-0.27231725803508466,1.7575793122576957,0.49934026520989105,0.25030165820958244,0.2503580765805264
2.98,-0.2655520994287384,1.7558348600013238,0.5000546367606097,0.25046568802937264,0.24947967521001777
3.0,-0.25863436292313347,1.7541614517191426,0.5007478944155602,0.2506250958251573,0.24862700975928245
