EU,EU,EU,EU,RoW,RoW,RoW,RoW
Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category
Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob)
0.0138441141511477,0.0003224283829968,0.0016420411090384,,0.0004712068322401,0.0000005888374120,0.0000181049290232,
0.0049606998476643,0.0001413007978131,0.0041551412911721,,0.0000312394800590,0.0000050746262346,0.0000563503743419,
0.0010452623988640,0.0001443941820380,0.0018845891361518,,0.0000135684241102,0.0000005143372190,0.0000031549326316,
0.0014849906854003,0.0000027833211100,0.0000389226902396,,0.0000190111469007,0.0000000183960171,0.0000003425798885,
0.0008346840511414,0.0001860119123155,0.0024224700028167,,0.0000059700870844,0.0000010571433335,0.0000077247362915,
0.0002533702527304,0.0000478363736830,0.0013498271721069,,0.0000100628158518,0.0000007970513736,0.0000239161601268,
0.0370248131517974,0.0003465478019937,0.0011072806257390,,0.0010405253980576,0.0000040992221456,0.0000157997343241,
0.0482419951541006,0.0003252714030370,0.0015491580944377,,0.0017562225947733,0.0000116703200109,0.0000235369720423,
0.0020218724844479,0.0000121757314713,0.0003793736157861,,0.0001654309258727,0.0000000422794654,0.0000008977848940,
0.0216012670809943,0.0003156446838584,0.0018352230122698,,0.0014625813487564,0.0000065222059483,0.0000994023396622,
0.0016648753215331,0.0000352433179726,0.0035904948998632,,0.0000547895636235,0.0000003282940572,0.0000909862295488,
0.0005967402724345,0.0000130934792485,0.0013065301020415,,0.0000144699501509,0.0000000732986223,0.0000218760355910,
0.0000452009215668,0.0000405824365118,0.0002753431020521,,0.0000012639987706,0.0000007252178504,0.0000031973381423,
0.0000774408042245,0.0000569764575315,0.0006051932780000,,0.0000016203049820,0.0000004384769137,0.0000027657909956,
0.0146508508901538,0.0006418330582154,0.0040508386772652,,0.0004882842608910,0.0000126614666642,0.0000600923464251,
0.0198990248452546,0.0003505325868662,0.0033362055153315,,0.0010145107090712,0.0000190076428879,0.0001533412988273,
0.0017777595984091,0.0495829081108332,0.0030071312873301,,0.0000394260391693,0.0000773019999805,0.0000552585570295,
0.0004278318939273,0.0113559806304480,0.0010068887566823,,0.0000137144426416,0.0000208384948812,0.0000149779272751,
0.0020109559484244,0.0012174394551141,0.0002284831770731,,0.0011447280393255,0.0000654175176907,0.0000247567565341,
0.0045585607602040,0.0003166876153953,0.0027557255083372,,0.0003126676145197,0.0000055788993226,0.0001371859822153,
0.0000311077303898,0.0000214536893151,0.0002195759380095,,0.0000158885778307,0.0000001033271147,0.0000062645174458,
0.0000109185212153,0.0000110636191188,0.0000807465589023,,0.0000064672170657,0.0000000429491553,0.0000021904876577,
0.0028902127585331,0.0000981859939150,0.0009769425278218,,0.0001439919702479,0.0000005771071056,0.0000141591675390,
0.0001665263129163,0.0001151419491214,0.0010055257527142,,0.0000086948503122,0.0000008045300254,0.0000119825914237,
0.0000363900040983,0.0000433280285260,0.0002266054225131,,0.0000014264186307,0.0000001616565458,0.0000026168836591,
0.0005699867251700,0.0002579079983349,0.0031129184985723,,0.0000268548215833,0.0000027296329176,0.0001692594993867,
0.0002539112706393,0.0001056218541164,0.0010382519690550,,0.0000132999211481,0.0000004600611634,0.0000666621856551,
0.0399185665640601,0.0038638826691818,0.2126445977098460,,0.0052496145353268,0.0001205373572996,0.0287968274914126,
0.0098837912258068,0.0005833101867878,0.0160041525147255,,0.0006920980716828,0.0000047418961723,0.0004715259290883,
0.0003091553999888,0.0000279295173595,0.0011834308777019,,0.0000038554874502,0.0000004390159848,0.0000071825782704,
0.0107613520947298,0.0001568224837437,0.0027625625682557,,0.0000056719520561,0.0000008112563098,0.0000232836825113,
0.0019968031191485,0.0000334684376884,0.0004459933430604,,0.0000008427784489,0.0000001697492471,0.0000036115081759,
0.0140692331126634,0.0003153281527385,0.0037657629101020,,0.0000060119870335,0.0000011758375581,0.0000287373780073,
0.0027709507178234,0.0001862859973007,0.0017998141905711,,0.0000013801019355,0.0000002395078861,0.0000088076559936,
0.0067720659646640,0.0004922811522376,0.0021200692041319,,0.0000056765911043,0.0000032789848343,0.0000137788176319,
0.0063176031454796,0.0010132248841559,0.4592947374975110,,0.0000411048096567,0.0000027825975775,0.0013460471518764,
0.0000054340815732,0.0000015762851349,0.0005571784623043,,0.0000000644838523,0.0000000070633021,0.0000022790144659,
0.0294049555559463,0.0006600172792020,0.0029583642186932,,0.0000984996646565,0.0000015357907485,0.0000928438652525,
0.0018293270649134,0.0000487802192647,0.0012038943519649,,0.0000037389020259,0.0000002443440531,0.0000031115035005,
0.0302716796670303,0.0079812569391697,0.0246704452263034,,0.0008732019947783,0.0000534977132972,0.0006613581679415,
0.1132363363869610,0.0243108134606252,0.0067661147733854,,0.0042842419128280,0.0000198205712791,0.0000772149517579,
0.0669582431422346,0.0320886991844751,0.0055471625257092,,0.0017235828677014,0.0001424893510515,0.0001899614633271,
0.1005047809138900,0.0085030994446252,0.1046042653589970,,0.0014917296890166,0.0002988696974150,0.0023832861124375,
0.1703444074475280,0.0104389866614992,0.0189723088501139,,0.0006079932815457,0.0000019996488138,0.0000776963926612,
0.0033514646589181,0.0003667986993306,0.0019916710173414,,0.0000244116590701,0.0000006786114133,0.0000068866292883,
0.0028243816422724,0.0127575352807645,0.0005644770319780,,0.0000468793736986,0.0000815222472971,0.0000195899139580,
0.0071925148619237,0.3383536413547840,0.0029972302325158,,0.0001532359548436,0.0014161861488639,0.0000197948460452,
0.0199605924536073,0.1915202969875540,0.0002569757433849,,0.0000891374974435,0.0002412603136335,0.0000055228970464,
0.0566761961488665,0.2811794329319710,0.0005769293087991,,0.0001470103251308,0.0002893393312744,0.0000093627218284,
0.0041821159217975,0.0006854210564604,0.0001231364849855,,0.0000186873586187,0.0000138410066180,0.0000013657893340,
0.0014236024440132,0.0005555822434067,0.0000720481385625,,0.0000089404415050,0.0000165881031780,0.0000043734580932,
0.0007708105418908,0.0003129683375987,0.0000408769346918,,0.0000063541789480,0.0000054963778754,0.0000004703827861,
0.0013365904965675,0.0008307660853203,0.0001069676507052,,0.0000120111875442,0.0000081126037288,0.0000005540718510,
0.0489477367227251,0.0015586276016286,0.0001992236840530,,0.0016965701665301,0.0000034519580509,0.0000080709818169,
0.0053695872574947,0.0000761686775217,0.0006493238823208,,0.0283666192773390,0.0016423449830538,0.0026820681416013,
0.0003577858083570,0.0000307037083027,0.0001417625450930,,0.0084227702551339,0.0011974036457862,0.0080925807148283,
0.0000368277212089,0.0000051358170283,0.0000472722261760,,0.0017863055197984,0.0000391748623525,0.0006710067633705,
0.0005020375010226,0.0000023013355260,0.0000126959604563,,0.0024229466462375,0.0000173403608331,0.0002693598039467,
0.0003858959345046,0.0001638631556285,0.0085784332255523,,0.0034092804487465,0.0003215205240070,0.0200321972818645,
0.0002434307767263,0.0000804940795733,0.0005336897585974,,0.0007796893709426,0.0002086672574703,0.0041964350859148,
0.0013776091574432,0.0000447429981338,0.0001363175492154,,0.0322769170072665,0.0006193497495969,0.0018833542017783,
0.0032191939195357,0.0000300987946776,0.0001487034315341,,0.0513502008576769,0.0020011287913544,0.0027527799666503,
0.0001213680417785,0.0000012897708387,0.0000099485540824,,0.0056670455273878,0.0000037622214852,0.0001195269291766,
0.0096408917040718,0.0000371503245654,0.0004033130263433,,0.0275888753693455,0.0003641066709787,0.0032710853634985,
0.0001710531216448,0.0000023796284449,0.0001780428851263,,0.0007127964108285,0.0000150974649838,0.0016689430411300,
0.0000098332967396,0.0000001463789499,0.0000076593985282,,0.0000377765822770,0.0000000277365579,0.0000435786405262,
0.0000036834133993,0.0000023734597686,0.0000853369369612,,0.0000379512791611,0.0000242667250599,0.0002163892698283,
0.0000102050405662,0.0000002196656735,0.0000263258094244,,0.0000097647898119,0.0000004319199251,0.0000142909707440,
0.0007099794057603,0.0000175733100958,0.0002215201437423,,0.0113337794364425,0.0006797788174525,0.0015766548336655,
0.0035727160800783,0.0002692363611933,0.0015998184572635,,0.0195738901382471,0.0004601116709812,0.0029695644618212,
