,,,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,,,,
,,,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),,,,
EU,Sector,Manufacture of Chemicals,0.025,0.003,0.004,0.009,0.002,0.006,0.002,0.002,0.002,0.005,0.008,0.008,0.016,0.013,0.003,0.005,0.022,0.041,0.027,0.006,0.011,0.013,0.011,0.003,0.003,0.005,0.009,0.001,0.004,0.010,0.003,0.003,0.001,0.003,0.004,0.001,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.004,0.001,0.000,0.005,0.003,0.002,0.009,0.006,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.005,0.000,0.000,0.007,0.020,0.004,0.001,0.001,0.003,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,,0.001,0.000,0.000,,0.017,0.001,0.002,
EU,Sector,Manufacture of rubber and plastic products (25),0.005,0.003,0.002,0.008,0.005,0.005,0.013,0.011,0.004,0.018,0.008,0.010,0.012,0.017,0.008,0.001,0.014,0.011,0.026,0.091,0.019,0.021,0.007,0.007,0.007,0.004,0.004,0.021,0.023,0.007,0.003,0.002,0.002,0.006,0.004,0.021,0.002,0.009,0.001,0.001,0.002,0.003,0.002,0.001,0.004,0.003,0.001,0.000,0.002,0.006,0.005,0.006,0.007,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.001,0.002,0.001,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.003,,0.000,0.000,0.000,,0.042,0.001,0.004,
EU,Sector,Manufacture of glass and glass products,0.002,0.001,0.000,0.001,0.001,0.006,0.002,0.003,0.000,0.001,0.004,0.005,0.002,0.001,0.000,0.000,0.002,0.002,0.002,0.002,0.109,0.000,0.002,0.001,0.001,0.000,0.000,0.002,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.005,0.000,0.000,
EU,Sector,Re-processing of secondary glass into new glass,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.001,0.000,0.000,0.001,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.035,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.002,0.000,0.000,
EU,Sector,Manufacture of other non-metallic mineral products,0.001,0.001,0.001,0.001,0.000,0.006,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.002,0.002,0.001,0.001,0.016,0.019,0.064,0.020,0.025,0.005,0.012,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.013,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.002,0.003,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.001,,0.000,0.000,0.000,,0.010,0.000,0.001,
EU,Sector,"Manufacture of cement, lime and plaster",0.000,0.000,0.001,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.000,0.003,0.119,0.118,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,,0.000,0.000,0.000,,0.018,0.000,0.002,
EU,Sector,Re-processing of ash into clinker,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.031,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.005,0.000,0.000,
EU,Sector,Manufacture of Metals,0.001,0.001,0.001,0.001,0.004,0.006,0.001,0.001,0.001,0.001,0.002,0.003,0.002,0.003,0.002,0.001,0.004,0.003,0.005,0.006,0.003,0.003,0.006,0.009,0.007,0.182,0.130,0.038,0.013,0.031,0.003,0.002,0.003,0.003,0.005,0.012,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.001,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.007,0.012,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,,0.000,0.000,0.000,,0.052,0.000,0.005,
EU,Sector,Re-processing of Metals,0.001,0.000,0.001,0.000,0.002,0.003,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.002,0.003,0.002,0.002,0.003,0.004,0.005,0.049,0.080,0.017,0.008,0.019,0.001,0.001,0.001,0.001,0.002,0.004,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.006,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,,0.000,0.000,0.000,,0.021,0.000,0.002,
EU,Sector,Manufacture of durable goods,0.037,0.016,0.024,0.045,0.054,0.051,0.012,0.016,0.009,0.014,0.028,0.030,0.033,0.037,0.015,0.009,0.019,0.016,0.035,0.031,0.040,0.046,0.033,0.026,0.026,0.060,0.059,0.258,0.062,0.081,0.038,0.029,0.028,0.044,0.053,0.088,0.003,0.048,0.018,0.006,0.008,0.017,0.012,0.004,0.029,0.030,0.024,0.004,0.019,0.029,0.027,0.031,0.031,0.008,0.002,0.000,0.002,0.004,0.003,0.004,0.001,0.001,0.001,0.001,0.002,0.004,0.001,0.015,0.001,0.000,0.001,0.004,0.002,0.002,0.002,0.008,0.002,0.002,0.007,0.002,0.005,0.016,0.003,0.005,0.003,0.002,0.001,0.004,0.002,0.004,0.000,0.004,0.002,0.001,0.001,0.003,0.001,0.000,0.002,0.002,0.003,0.001,0.002,0.003,0.003,0.003,0.002,0.002,0.040,0.004,0.213,,0.005,0.000,0.029,,0.288,0.023,0.046,
EU,Sector,Manufacture of furniture; manufacturing n.e.c. (36),0.002,0.001,0.003,0.007,0.001,0.003,0.001,0.002,0.001,0.003,0.007,0.011,0.003,0.002,0.002,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.001,0.001,0.002,0.003,0.003,0.048,0.003,0.003,0.002,0.003,0.001,0.002,0.004,0.000,0.002,0.002,0.001,0.003,0.002,0.001,0.001,0.003,0.001,0.002,0.001,0.002,0.002,0.002,0.004,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.001,0.016,,0.001,0.000,0.000,,0.012,0.002,0.003,
EU,Sector,Recycling,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.006,0.018,0.001,0.000,0.001,0.001,0.001,0.003,0.012,0.018,0.001,0.001,0.001,0.026,0.056,0.001,0.001,0.064,0.001,0.001,0.002,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.012,0.009,0.006,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,,0.000,0.000,0.000,,0.006,0.000,0.001,
EU,Sector,Production of electricity by fossil fuels,0.011,0.010,0.002,0.011,0.022,0.020,0.005,0.010,0.004,0.007,0.012,0.009,0.056,0.028,0.007,0.008,0.014,0.008,0.021,0.011,0.007,0.011,0.015,0.019,0.008,0.015,0.039,0.006,0.006,0.008,0.000,0.000,0.104,0.050,0.019,0.003,0.003,0.003,0.003,0.003,0.006,0.003,0.002,0.003,0.002,0.004,0.005,0.004,0.004,0.006,0.010,0.010,0.002,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.003,,0.000,0.000,0.000,,0.029,0.001,0.004,
EU,Sector,Production of electricity by renewable energy,0.002,0.003,0.001,0.004,0.004,0.007,0.001,0.002,0.001,0.002,0.004,0.003,0.021,0.006,0.002,0.001,0.003,0.003,0.003,0.002,0.002,0.004,0.004,0.005,0.003,0.004,0.008,0.001,0.001,0.003,0.000,0.000,0.021,0.023,0.007,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,,0.000,0.000,0.000,,0.007,0.000,0.001,
EU,Sector,Transmission & Distribution,0.005,0.005,0.001,0.013,0.010,0.010,0.002,0.005,0.002,0.004,0.007,0.006,0.032,0.016,0.004,0.004,0.007,0.004,0.008,0.006,0.004,0.006,0.008,0.010,0.003,0.008,0.021,0.003,0.004,0.006,0.000,0.001,0.168,0.030,0.025,0.002,0.002,0.004,0.003,0.003,0.007,0.004,0.003,0.004,0.002,0.005,0.006,0.005,0.005,0.006,0.008,0.009,0.002,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.004,,0.000,0.000,0.000,,0.028,0.002,0.004,
EU,Sector,Manufacture of gas; distribution of gaseous fuels through mains,0.004,0.003,0.002,0.003,0.006,0.008,0.004,0.007,0.005,0.006,0.005,0.006,0.014,0.017,0.004,0.004,0.010,0.005,0.014,0.005,0.011,0.019,0.020,0.019,0.010,0.007,0.016,0.003,0.002,0.005,0.165,0.149,0.060,0.012,0.090,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.002,0.001,0.001,0.003,0.003,0.003,0.003,0.006,0.008,0.010,0.002,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.002,,0.000,0.000,0.000,,0.026,0.000,0.003,
EU,Sector,Water,0.007,0.004,0.001,0.003,0.003,0.004,0.001,0.002,0.001,0.002,0.001,0.001,0.007,0.007,0.001,0.002,0.003,0.003,0.004,0.001,0.002,0.002,0.002,0.002,0.001,0.003,0.003,0.001,0.001,0.009,0.003,0.003,0.021,0.005,0.040,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.003,0.001,0.002,0.003,0.003,0.003,0.008,0.010,0.009,0.010,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.002,,0.000,0.000,0.000,,0.010,0.001,0.002,
EU,Sector,Construction (45),0.014,0.003,0.009,0.005,0.010,0.012,0.002,0.005,0.003,0.006,0.007,0.008,0.009,0.010,0.004,0.002,0.005,0.004,0.009,0.005,0.007,0.005,0.009,0.012,0.011,0.006,0.005,0.005,0.006,0.009,0.016,0.020,0.023,0.004,0.020,0.153,0.002,0.003,0.008,0.002,0.007,0.004,0.007,0.011,0.007,0.013,0.021,0.015,0.009,0.030,0.027,0.021,0.016,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.459,,0.000,0.000,0.001,,0.081,0.022,0.028,
EU,Sector,Re-processing of secondary construction material into aggregates,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,,0.000,0.000,0.000,,0.000,0.000,0.000,
EU,Sector,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",0.005,0.009,0.006,0.007,0.004,0.006,0.007,0.005,0.004,0.006,0.005,0.007,0.006,0.006,0.004,0.003,0.003,0.005,0.005,0.004,0.008,0.009,0.006,0.006,0.007,0.005,0.005,0.004,0.004,0.006,0.003,0.004,0.002,0.002,0.004,0.003,0.006,0.014,0.006,0.002,0.002,0.011,0.002,0.000,0.021,0.002,0.003,0.001,0.002,0.011,0.013,0.010,0.009,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.001,0.003,,0.000,0.000,0.000,,0.018,0.004,0.005,
EU,Sector,Retail sale of automotive fuel,0.003,0.002,0.003,0.001,0.000,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.000,0.001,0.000,0.000,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,,0.000,0.000,0.000,,0.003,0.000,0.001,
EU,Sector,Retail & Wholesale trade,0.034,0.070,0.033,0.054,0.022,0.046,0.074,0.066,0.091,0.085,0.060,0.074,0.043,0.076,0.051,0.029,0.054,0.056,0.082,0.054,0.073,0.089,0.066,0.060,0.074,0.056,0.051,0.044,0.064,0.081,0.020,0.016,0.013,0.033,0.027,0.025,0.019,0.023,0.026,0.077,0.023,0.023,0.022,0.007,0.026,0.023,0.016,0.007,0.014,0.038,0.034,0.028,0.032,0.015,0.001,0.001,0.001,0.001,0.000,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.002,0.001,0.000,0.002,0.002,0.001,0.001,0.002,0.003,0.002,0.001,0.003,0.001,0.001,0.001,0.001,0.004,0.001,0.002,0.000,0.001,0.001,0.000,0.001,0.000,0.003,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.030,0.008,0.025,,0.001,0.000,0.001,,0.152,0.006,0.018,
EU,Sector,Leisure Services,0.001,0.001,0.002,0.002,0.004,0.006,0.003,0.004,0.005,0.004,0.002,0.004,0.003,0.004,0.012,0.001,0.004,0.004,0.008,0.003,0.003,0.004,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.005,0.002,0.004,0.008,0.004,0.005,0.003,0.038,0.009,0.014,0.002,0.009,0.013,0.012,0.006,0.010,0.004,0.004,0.005,0.005,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.002,0.113,0.024,0.007,,0.004,0.000,0.000,,0.046,0.017,0.019,
EU,Sector,Transport,0.017,0.019,0.020,0.051,0.050,0.083,0.047,0.048,0.023,0.036,0.066,0.045,0.126,0.110,0.037,0.033,0.045,0.038,0.040,0.032,0.034,0.043,0.060,0.087,0.086,0.044,0.052,0.026,0.036,0.061,0.040,0.021,0.018,0.078,0.017,0.016,0.022,0.024,0.076,0.065,0.015,0.249,0.017,0.003,0.037,0.023,0.022,0.020,0.009,0.018,0.018,0.024,0.027,0.020,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.002,0.007,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.005,0.001,0.001,0.005,0.001,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.001,0.000,0.067,0.032,0.006,,0.002,0.000,0.000,,0.195,0.010,0.026,
