,,,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,,,,
,,,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),,,,
EU,Sector,Manufacture of tobacco products (16),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,,0.000,0.000,0.000,,0.001,0.000,0.000,
EU,Sector,Manufacture of textiles,0.002,0.001,0.002,0.016,0.001,0.001,0.000,0.001,0.002,0.180,0.002,0.004,0.002,0.003,0.004,0.000,0.001,0.001,0.005,0.008,0.004,0.004,0.002,0.001,0.001,0.001,0.001,0.003,0.011,0.002,0.001,0.000,0.000,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.000,0.001,0.001,0.001,0.000,0.002,0.002,0.002,0.003,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.000,0.002,,0.001,0.000,0.000,,0.019,0.003,0.005,
EU,Sector,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.002,0.002,0.005,0.004,0.003,0.003,0.001,0.002,0.001,0.001,0.136,0.127,0.024,0.001,0.004,0.000,0.001,0.001,0.001,0.002,0.005,0.006,0.007,0.001,0.001,0.003,0.003,0.002,0.048,0.006,0.002,0.004,0.002,0.000,0.002,0.015,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.020,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.004,,0.000,0.000,0.000,,0.017,0.000,0.002,
EU,Sector,Re-processing of secondary wood material into new wood material,0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.001,0.000,0.000,0.037,0.064,0.004,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.002,0.002,0.003,0.000,0.000,0.001,0.001,0.001,0.020,0.002,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,,0.000,0.000,0.000,,0.006,0.000,0.001,
EU,Sector,Pulp,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.034,0.000,0.004,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.003,0.000,0.000,
EU,Sector,Re-processing of secondary paper into new pulp,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.073,0.000,0.009,0.006,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,,0.000,0.000,0.000,,0.006,0.000,0.001,
EU,Sector,Paper,0.003,0.002,0.002,0.004,0.002,0.005,0.012,0.012,0.024,0.008,0.010,0.010,0.014,0.014,0.140,0.001,0.007,0.009,0.011,0.006,0.011,0.015,0.016,0.004,0.004,0.003,0.003,0.004,0.011,0.033,0.004,0.004,0.003,0.002,0.005,0.003,0.001,0.003,0.006,0.003,0.011,0.003,0.015,0.001,0.010,0.018,0.009,0.011,0.005,0.007,0.006,0.006,0.005,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.006,0.000,0.000,0.001,0.000,0.000,0.000,0.006,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.001,0.004,,0.000,0.000,0.000,,0.044,0.002,0.006,
EU,Sector,Processing of Fossil Fuels,0.026,0.011,0.012,0.021,0.005,0.012,0.001,0.002,0.001,0.001,0.005,0.011,0.006,0.001,0.002,0.063,0.020,0.003,0.012,0.003,0.007,0.005,0.011,0.004,0.006,0.013,0.006,0.001,0.003,0.009,0.013,0.006,0.004,0.007,0.004,0.007,0.000,0.004,0.003,0.004,0.002,0.028,0.002,0.001,0.008,0.003,0.004,0.001,0.001,0.003,0.006,0.012,0.008,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.000,0.000,0.002,0.006,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.003,,0.001,0.000,0.000,,0.035,0.003,0.006,
EU,Sector,"Plastics, basic",0.001,0.001,0.000,0.001,0.003,0.002,0.001,0.001,0.001,0.011,0.003,0.005,0.003,0.003,0.007,0.002,0.029,0.023,0.005,0.184,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.007,0.006,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.003,0.003,0.001,0.001,0.001,0.002,0.000,0.001,0.002,0.001,0.000,0.002,0.001,0.001,0.001,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.005,0.000,0.005,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.050,0.003,,0.000,0.000,0.000,,0.023,0.003,0.004,
EU,Sector,Re-processing of secondary plastic into new plastic,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.003,0.001,0.002,0.001,0.001,0.002,0.000,0.009,0.010,0.003,0.050,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.001,,0.000,0.000,0.000,,0.007,0.001,0.001,
