"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",-0.02,-0.02,-0.01,0,0,0.01
"Macroeconomic","va",-0.02,-0.02,-0.02,0,0,0.01
"Macroeconomic","go",-0.04,-0.04,-0.04,0,0,0.01
"Macroeconomic","id",-0.02,-0.03,-0.04,0,0,0
"Macroeconomic","gdef",-2.41,-2.28,-2.06,-0.85,-1.29,-1.77
"Macroeconomic","cab",-0.49,-0.57,-0.71,-0.49,-0.57,-0.71
"Macroeconomic","tb",-0.29,-0.27,-0.27,-0.29,-0.27,-0.27
"Social","n",-0.08,-0.09,-0.09,0,0,0.01
"Social","nf",-0.08,-0.09,-0.09,0,0,0.01
"Social","shp",0.03,0.04,0.05,0,0,0
"Social","shw",-0.02,-0.02,-0.03,0,0,0
"Debt.and.Wealth","lh",0,0,-0.01,0,0,0
"Debt.and.Wealth","lf",-0.03,-0.13,-0.21,0,0,0
"Debt.and.Wealth","v",0,0,0,0,0,0.01
"Debt.and.Wealth","k",-0.01,-0.03,-0.04,0,0,0
"Debt.and.Wealth","b_s",0.01,0.06,0.18,0,-0.01,-0.03
"Ecological","x_mat",-0.29,-0.3,-0.3,0,0,0.01
"Ecological","land",-0.42,-0.42,-0.42,0,0,0
"Ecological","mat",-0.5,-0.51,-0.51,0,0.01,0.01
"Ecological","rec",0.01,0.01,0.01,0,0,0.01
"Ecological","emis",-0.42,-0.42,-0.42,0,0,0
"Ecological","wa",-0.04,-0.04,-0.04,0,0,0.01
"Ecological","water",-0.42,-0.42,-0.42,0,0,0
