"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",-0.02,-0.02,-0.02,0,0,0.01
"Macroeconomic","va",-0.02,-0.02,-0.02,0,0.01,0.01
"Macroeconomic","go",-0.02,-0.02,-0.02,0.01,0.01,0.01
"Macroeconomic","id",-0.01,-0.02,-0.02,0,0,0.01
"Macroeconomic","gdef",23.2,54.06,699.31,-29.47,94.31,50.68
"Macroeconomic","cab",-0.73,-0.84,-1.11,-0.73,-0.84,-1.11
"Macroeconomic","tb",-0.35,-0.32,-0.3,-0.35,-0.32,-0.3
"Social","n",-0.02,-0.02,-0.02,0,0.01,0.01
"Social","nf",-0.02,-0.02,-0.02,0,0.01,0.01
"Social","shp",0.01,0.02,0.02,0,0,0
"Social","shw",-0.01,-0.01,-0.01,0,0,0
"Debt.and.Wealth","lh",0,0,-0.01,0,0,0
"Debt.and.Wealth","lf",0,-0.04,-0.06,0,0.01,0.01
"Debt.and.Wealth","v",0,-0.01,-0.01,0,0,0.01
"Debt.and.Wealth","k",0,-0.01,-0.02,0,0,0.01
"Debt.and.Wealth","b_s",0.01,0.04,0.12,0,-0.01,-0.03
"Ecological","x_mat",-0.04,-0.04,-0.05,0,0,0.01
"Ecological","land",-0.04,-0.05,-0.05,0.01,0.01,0.01
"Ecological","mat",0.02,0.01,0.01,0.01,0.01,0.01
"Ecological","rec",-0.12,-0.12,-0.13,-0.01,-0.01,-0.01
"Ecological","emis",-0.04,-0.05,-0.05,0.01,0.01,0.01
"Ecological","wa",-0.02,-0.02,-0.02,0.01,0.01,0.01
"Ecological","water",-0.04,-0.05,-0.05,0.01,0.01,0.01
