"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0.03,0.04,0.08,-0.01,-0.02,-0.02
"Macroeconomic","va",0.04,0.03,0.04,-0.02,-0.02,-0.03
"Macroeconomic","go",-0.18,-0.2,-0.19,-0.02,-0.03,-0.03
"Macroeconomic","id",-0.12,-0.23,-0.27,0,-0.02,-0.03
"Macroeconomic","gdef",1.75,2.85,5.59,4.16,6.59,7.64
"Macroeconomic","cab",2.32,2.58,2.88,2.32,2.58,2.88
"Macroeconomic","tb",1.41,1.59,1.44,1.41,1.59,1.44
"Social","n",0.03,0.02,0.03,-0.02,-0.02,-0.03
"Social","nf",0.03,0.02,0.03,-0.02,-0.02,-0.03
"Social","shp",-0.01,0.06,0.11,-0.01,0,0
"Social","shw",0,-0.03,-0.07,0,0,0
"Debt.and.Wealth","lh",0,0,0.01,0,0,-0.01
"Debt.and.Wealth","lf",0.35,-0.46,-1.08,0,-0.02,-0.04
"Debt.and.Wealth","v",0.03,0.04,0.11,0,-0.01,-0.02
"Debt.and.Wealth","k",-0.03,-0.19,-0.27,0,-0.01,-0.03
"Debt.and.Wealth","b_s",-0.04,-0.08,-0.34,0,0.03,0.12
"Ecological","x_mat",-0.55,-0.58,-0.57,-0.03,-0.04,-0.05
"Ecological","land",5.19,5.17,5.19,0.06,0.05,0.05
"Ecological","mat",-0.82,-0.85,-0.84,-0.03,-0.04,-0.05
"Ecological","rec",-0.16,-0.18,-0.17,-0.04,-0.05,-0.05
"Ecological","emis",5.19,5.17,5.19,0.06,0.05,0.05
"Ecological","wa",-0.19,-0.2,-0.19,-0.02,-0.03,-0.03
"Ecological","water",5.19,5.17,5.19,0.06,0.05,0.05
