"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",-0.35,-0.31,-0.26,0.1,0.09,0.07
"Macroeconomic","va",0.03,0.04,0.07,0.02,0.01,0
"Macroeconomic","go",0.06,0.08,0.1,0.01,0,-0.01
"Macroeconomic","id",-0.18,-0.16,-0.13,0.11,0.1,0.09
"Macroeconomic","gdef",-106.84,-103.22,-100.27,-96.13,-101.65,-103.74
"Macroeconomic","cab",-26.64,-29.2,-35.24,-26.64,-29.2,-35.24
"Macroeconomic","tb",-0.83,-1,-1.25,-0.83,-1,-1.25
"Social","n",0.06,0.07,0.1,-0.02,-0.03,-0.04
"Social","nf",0.06,0.07,0.1,-0.02,-0.03,-0.04
"Social","shp",-0.45,-0.43,-0.4,0.06,0.06,0.05
"Social","shw",0.26,0.25,0.23,-0.04,-0.03,-0.03
"Debt.and.Wealth","lh",-3.23,-3.21,-3.15,0.88,0.88,0.86
"Debt.and.Wealth","lf",2.1,1.97,1.82,-0.06,-0.06,-0.06
"Debt.and.Wealth","v",-0.56,-0.5,-0.41,0.12,0.1,0.07
"Debt.and.Wealth","k",-0.18,-0.17,-0.14,0.11,0.11,0.09
"Debt.and.Wealth","b_s",11.58,13.83,20.12,-2.8,-3.26,-4.42
"Ecological","x_mat",1.52,1.54,1.57,-0.03,-0.04,-0.05
"Ecological","land",0.21,0.23,0.26,0,-0.01,-0.02
"Ecological","mat",0.44,0.45,0.48,-0.02,-0.02,-0.03
"Ecological","rec",3.1,3.14,3.18,-0.06,-0.06,-0.07
"Ecological","emis",0.21,0.23,0.26,0,-0.01,-0.02
"Ecological","wa",0.07,0.09,0.11,0.01,0,-0.01
"Ecological","water",0.21,0.23,0.26,0,-0.01,-0.02
