"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0.19,0.24,0.57,-0.06,-0.13,-0.16
"Macroeconomic","va",0.28,0.25,0.38,-0.08,-0.14,-0.18
"Macroeconomic","go",-1.06,-1.29,-1.22,-0.09,-0.16,-0.19
"Macroeconomic","id",-0.61,-1.39,-1.68,-0.03,-0.11,-0.18
"Macroeconomic","gdef",-146.18,-410.31,-12718.46,585.19,-2489.88,-1324.65
"Macroeconomic","cab",17.47,23.41,29.18,17.47,23.41,29.18
"Macroeconomic","tb",8.72,10.79,9.9,8.72,10.79,9.9
"Social","n",0.19,0.12,0.23,-0.08,-0.14,-0.18
"Social","nf",0.19,0.12,0.23,-0.08,-0.14,-0.18
"Social","shp",0.17,0.53,0.94,-0.03,-0.03,0
"Social","shw",-0.1,-0.3,-0.54,0.02,0.02,0
"Debt.and.Wealth","lh",0.04,0.08,0.15,0,-0.01,-0.03
"Debt.and.Wealth","lf",1.7,-2.76,-7.25,-0.01,-0.09,-0.21
"Debt.and.Wealth","v",0.15,0.34,0.89,-0.01,-0.08,-0.15
"Debt.and.Wealth","k",-0.16,-1.09,-1.65,-0.01,-0.08,-0.17
"Debt.and.Wealth","b_s",-0.17,-0.34,-1.51,0.03,0.2,0.77
"Ecological","x_mat",-3.33,-3.9,-3.95,-0.18,-0.26,-0.29
"Ecological","land",30.57,33.99,34.91,-0.11,-0.19,-0.22
"Ecological","mat",-4.8,-5.53,-5.59,-0.17,-0.25,-0.29
"Ecological","rec",-1.22,-1.55,-1.59,-0.2,-0.28,-0.3
"Ecological","emis",30.57,33.99,34.91,-0.11,-0.19,-0.22
"Ecological","wa",-1.1,-1.34,-1.27,-0.09,-0.16,-0.19
"Ecological","water",30.57,33.99,34.91,-0.11,-0.19,-0.22
